driver,team,nationality,points
Max Verstappen,Red Bull,Dutch,287.5
Lewis Hamilton,Mercedes,British,275.5
Valtteri Bottas,Mercedes,Finnish,185.0
Sergio Perez,Red Bull,Mexican,150.0
Lando Norris,McLaren,British,149.0
Charles Leclerc,Ferrari,Monagasque,128.0
Carlos Sainz,Ferrari,Spanish,122.5
Daniel Ricciardo,McLaren,Australian,105.0
Pierre Gasly,AlphaTauri,French,74.0
Fernando Alonso,Alpine,Spanish,58.0
Esteban Ocon,Alpine,French,46.0
Sebastian Vettel,Aston Martin,German,36.0
Lance Stroll,Aston Martin,Canadian,26.0
Yuki Tsunoda,AlphaTauri,Japanese,20.0
George Russell,Williams,British,16.0
Nicholas Latifi,Williams,Canadian,7.0
Kimi Raikkonen,Alfa Romeo,Finnish,6.0
Antonio Giovinazzi,Alfa Romeo,Italian,1.0
Mick Schumacher,Haas,German,0.0
Nikita Mazepin,Haas,Russian,0.0
